"","micro1","micro2","r","p_value"
"1652","Luteimonas sp. JM171","Martelella mediterranea",0.497859405341273,5.25311737126427e-19
"1653","Dinoroseobacter shibae","Martelella mediterranea",0.516454953323926,1.46634464610527e-20
"1654","Elizabethkingia meningoseptica","Martelella mediterranea",0.406204698576254,1.37279015361142e-12
"1655","Ketogulonicigenium robustum","Martelella mediterranea",0.525045040512368,2.60331990187158e-21
"1656","Sulfitobacter pseudonitzschiae","Martelella mediterranea",0.62850758326717,2.69647210446345e-32
"1657","Thalassolituus oleivorans","Martelella mediterranea",0.344131767928856,3.12424112558672e-09
"1658","Microbacterium paludicola","Martelella mediterranea",0.512320708158292,3.31152191041722e-20
"1660","Brevirhabdus pacifica","Martelella mediterranea",0.604970625242319,1.93568999263275e-29
"1661","Meiothermus silvanus","Martelella mediterranea",0.168496212401592,0.00462291882232677
"1662","Microbacterium sp. XT11","Martelella mediterranea",0.516736850545649,1.38655322964604e-20
"1663","Leadbetterella byssophila","Martelella mediterranea",0.487867390324395,3.28995624716609e-18
"1664","Rhodobacter capsulatus","Martelella mediterranea",0.613199288501724,2.06809889683207e-30
"1752","Flavobacteriaceae bacterium JJC","Microcystis aeruginosa",0.3940049303625,7.15346472480202e-12
"1753","Erythrobacter sp. HL-111","Microcystis aeruginosa",0.522104454805995,4.73056317883038e-21
"1754","Martelella sp. AD-3","Microcystis aeruginosa",0.606110955716621,1.42535217044424e-29
"1755","Luteimonas sp. JM171","Microcystis aeruginosa",0.411066951640891,6.9763733002106e-13
"1756","Dinoroseobacter shibae","Microcystis aeruginosa",0.512429915571273,3.24148416342402e-20
"1757","Elizabethkingia meningoseptica","Microcystis aeruginosa",0.367269625530723,2.11846240061787e-10
"1758","Ketogulonicigenium robustum","Microcystis aeruginosa",0.639803884202637,9.35761478453796e-34
"1759","Sulfitobacter pseudonitzschiae","Microcystis aeruginosa",0.627329258771935,3.79843729279074e-32
"1760","Thalassolituus oleivorans","Microcystis aeruginosa",0.301898631630951,2.48191561959179e-07
"1761","Microbacterium paludicola","Microcystis aeruginosa",0.46165340939846,3.07496515290134e-16
"1762","Staphylococcus phage StB12","Microcystis aeruginosa",0.121633657260994,0.0416065883448091
"1763","Brevirhabdus pacifica","Microcystis aeruginosa",0.548458580312081,1.80880187547472e-23
"1764","Meiothermus silvanus","Microcystis aeruginosa",0.134718096411076,0.0239129010056596
"1765","Microbacterium sp. XT11","Microcystis aeruginosa",0.465403718279552,1.64496548978914e-16
"1766","Leadbetterella byssophila","Microcystis aeruginosa",0.508179310535364,7.40692997019271e-20
"1767","Rhodobacter capsulatus","Microcystis aeruginosa",0.613101136534883,2.1248328602031e-30
"1768","Martelella mediterranea","Microcystis aeruginosa",0.593885680794415,3.56014183604385e-28
"1855","Flavobacteriaceae bacterium JJC","Confluentimicrobium sp. EMB200-NS6",0.394985071707894,6.28053306287583e-12
"1856","Erythrobacter sp. HL-111","Confluentimicrobium sp. EMB200-NS6",0.459704365212401,4.24349735293136e-16
"1857","Martelella sp. AD-3","Confluentimicrobium sp. EMB200-NS6",0.606933097469173,1.14225435398053e-29
"1858","Luteimonas sp. JM171","Confluentimicrobium sp. EMB200-NS6",0.501338466309527,2.73409952975482e-19
"1859","Dinoroseobacter shibae","Confluentimicrobium sp. EMB200-NS6",0.578284466177907,1.78100141651655e-26
"1860","Elizabethkingia meningoseptica","Confluentimicrobium sp. EMB200-NS6",0.405211204080603,1.57429885616415e-12
"1861","Ketogulonicigenium robustum","Confluentimicrobium sp. EMB200-NS6",0.674755890091183,1.10211096008073e-38
"1862","Sulfitobacter pseudonitzschiae","Confluentimicrobium sp. EMB200-NS6",0.699431331009937,1.35802247517327e-42
"1863","Thalassolituus oleivorans","Confluentimicrobium sp. EMB200-NS6",0.362110136735507,3.93402349425995e-10
"1864","Microbacterium paludicola","Confluentimicrobium sp. EMB200-NS6",0.437948133151615,1.34904386997119e-14
"1866","Brevirhabdus pacifica","Confluentimicrobium sp. EMB200-NS6",0.607716651522763,9.24391703284753e-30
"1867","Meiothermus silvanus","Confluentimicrobium sp. EMB200-NS6",0.221115605502246,0.000186670901690106
"1868","Microbacterium sp. XT11","Confluentimicrobium sp. EMB200-NS6",0.433854169464663,2.51721917594393e-14
"1869","Leadbetterella byssophila","Confluentimicrobium sp. EMB200-NS6",0.55606261075039,3.30669534517956e-24
"1870","Rhodobacter capsulatus","Confluentimicrobium sp. EMB200-NS6",0.620301430446238,2.84485456407393e-31
"1871","Martelella mediterranea","Confluentimicrobium sp. EMB200-NS6",0.652461703740561,1.82530723251247e-35
"1872","Microcystis aeruginosa","Confluentimicrobium sp. EMB200-NS6",0.649664804510501,4.42746771956444e-35
"1958","Flavobacteriaceae bacterium JJC","Chryseobacterium haifense",0.631705066275586,1.05622232507884e-32
"1959","Erythrobacter sp. HL-111","Chryseobacterium haifense",0.220118898451151,0.000199906220703154
"1960","Martelella sp. AD-3","Chryseobacterium haifense",0.400490396662707,2.99951380152861e-12
"1961","Luteimonas sp. JM171","Chryseobacterium haifense",0.307012895981121,1.5136667733799e-07
"1962","Dinoroseobacter shibae","Chryseobacterium haifense",0.348401504680136,1.93251261769735e-09
"1963","Elizabethkingia meningoseptica","Chryseobacterium haifense",0.572497542891976,7.21271889631398e-26
"1964","Ketogulonicigenium robustum","Chryseobacterium haifense",0.436035634496613,1.80729526225262e-14
"1965","Sulfitobacter pseudonitzschiae","Chryseobacterium haifense",0.349876181450751,1.6343221688662e-09
"1966","Thalassolituus oleivorans","Chryseobacterium haifense",0.371581009846603,1.25227645665008e-10
"1967","Microbacterium paludicola","Chryseobacterium haifense",0.438560818211447,1.22792079494802e-14
"1968","Staphylococcus phage StB12","Chryseobacterium haifense",0.169855775851316,0.00429843987607144
"1969","Brevirhabdus pacifica","Chryseobacterium haifense",0.374037124210342,9.24938215723689e-11
"1970","Meiothermus silvanus","Chryseobacterium haifense",0.298473706612194,3.43810621717512e-07
"1971","Microbacterium sp. XT11","Chryseobacterium haifense",0.383549715039005,2.79211984709561e-11
"1972","Leadbetterella byssophila","Chryseobacterium haifense",0.671436063980521,3.4624139457718e-38
"1973","Rhodobacter capsulatus","Chryseobacterium haifense",0.357632987620578,6.67183875554761e-10
"1974","Martelella mediterranea","Chryseobacterium haifense",0.437481520284717,1.44905905805006e-14
"1975","Microcystis aeruginosa","Chryseobacterium haifense",0.475398257105946,2.98977993875744e-17
"1976","Confluentimicrobium sp. EMB200-NS6","Chryseobacterium haifense",0.429569836359148,4.79213679229307e-14
"2061","Flavobacteriaceae bacterium JJC","Belliella baltica",0.326438650993189,2.11985074182705e-08
"2062","Erythrobacter sp. HL-111","Belliella baltica",0.289697992055732,7.77494681035486e-07
"2063","Martelella sp. AD-3","Belliella baltica",0.42581080175638,8.36801041711365e-14
"2064","Luteimonas sp. JM171","Belliella baltica",0.46638529001407,1.3947516793575e-16
"2065","Dinoroseobacter shibae","Belliella baltica",0.404414543472376,1.7564788247534e-12
"2066","Elizabethkingia meningoseptica","Belliella baltica",0.521554559078975,5.28614846491212e-21
"2067","Ketogulonicigenium robustum","Belliella baltica",0.344758375929001,2.91289117090439e-09
"2068","Sulfitobacter pseudonitzschiae","Belliella baltica",0.431383564617486,3.65293252249865e-14
"2069","Thalassolituus oleivorans","Belliella baltica",0.319357425806958,4.41130685419101e-08
"2070","Microbacterium paludicola","Belliella baltica",0.41550568745229,3.72457181611777e-13
"2071","Staphylococcus phage StB12","Belliella baltica",0.245456283147909,3.18145749700066e-05
"2072","Brevirhabdus pacifica","Belliella baltica",0.371817140951657,1.21645884477954e-10
"2073","Meiothermus silvanus","Belliella baltica",0.291365437498769,6.67224961111246e-07
"2074","Microbacterium sp. XT11","Belliella baltica",0.392935551129583,8.2408128173187e-12
"2075","Leadbetterella byssophila","Belliella baltica",0.556248360190704,3.17051212098726e-24
"2076","Rhodobacter capsulatus","Belliella baltica",0.45320243959331,1.2245278855905e-15
"2077","Martelella mediterranea","Belliella baltica",0.489447493039927,2.47126746192679e-18
"2078","Microcystis aeruginosa","Belliella baltica",0.456662913521935,6.98611309390686e-16
"2079","Confluentimicrobium sp. EMB200-NS6","Belliella baltica",0.444933090781738,4.5638980868146e-15
"2080","Chryseobacterium haifense","Belliella baltica",0.567705245580804,2.24970086912479e-25
"2164","Flavobacteriaceae bacterium JJC","Propionibacterium phage PHL064M02",-0.262113643545377,8.49446163784548e-06
"2165","Erythrobacter sp. HL-111","Propionibacterium phage PHL064M02",-0.13661663451851,0.0219834279323142
"2166","Martelella sp. AD-3","Propionibacterium phage PHL064M02",-0.255090485640464,1.49881436227892e-05
"2167","Luteimonas sp. JM171","Propionibacterium phage PHL064M02",-0.318214246425127,4.95657743452687e-08
"2168","Dinoroseobacter shibae","Propionibacterium phage PHL064M02",-0.134150924621963,0.024516941385992
"2169","Elizabethkingia meningoseptica","Propionibacterium phage PHL064M02",-0.315774309756408,6.34607193692172e-08
"2170","Ketogulonicigenium robustum","Propionibacterium phage PHL064M02",-0.186755535970181,0.00166457427159412
"2171","Sulfitobacter pseudonitzschiae","Propionibacterium phage PHL064M02",-0.227523330779657,0.000119296325823066
"2172","Thalassolituus oleivorans","Propionibacterium phage PHL064M02",-0.2229221230626,0.000164746409160101
"2173","Microbacterium paludicola","Propionibacterium phage PHL064M02",-0.26796204340844,5.22809262927212e-06
"2175","Brevirhabdus pacifica","Propionibacterium phage PHL064M02",-0.153985118491405,0.00973249274213487
"2176","Meiothermus silvanus","Propionibacterium phage PHL064M02",-0.161345348275694,0.00672091467809762
"2177","Microbacterium sp. XT11","Propionibacterium phage PHL064M02",-0.296781863268597,4.03237944744642e-07
"2178","Leadbetterella byssophila","Propionibacterium phage PHL064M02",-0.316713481689848,5.77175838493701e-08
"2179","Rhodobacter capsulatus","Propionibacterium phage PHL064M02",-0.208883020232683,0.000423688331323411
"2180","Martelella mediterranea","Propionibacterium phage PHL064M02",-0.298748663106261,3.34984145961594e-07
"2181","Microcystis aeruginosa","Propionibacterium phage PHL064M02",-0.232960594190309,8.07721929229128e-05
"2182","Confluentimicrobium sp. EMB200-NS6","Propionibacterium phage PHL064M02",-0.284187296171371,1.28002652884479e-06
"2183","Chryseobacterium haifense","Propionibacterium phage PHL064M02",-0.30286830284439,2.26143426647011e-07
"2184","Belliella baltica","Propionibacterium phage PHL064M02",-0.354695464723602,9.39369421103309e-10
"2270","Luteimonas sp. JM171","Ochrobactrum sp. A44",0.136993287966093,0.0216170822250914
"2271","Dinoroseobacter shibae","Ochrobactrum sp. A44",0.151454819963604,0.0110153896033572
"2272","Elizabethkingia meningoseptica","Ochrobactrum sp. A44",0.218893493464406,0.000217380149050015
"2275","Thalassolituus oleivorans","Ochrobactrum sp. A44",0.122026636399949,0.0409470275663925
"2276","Microbacterium paludicola","Ochrobactrum sp. A44",0.207780881573528,0.000455142702027213
"2280","Microbacterium sp. XT11","Ochrobactrum sp. A44",0.2023273259903,0.000645212746475072
"2281","Leadbetterella byssophila","Ochrobactrum sp. A44",0.191089729584678,0.00128782195652653
"2282","Rhodobacter capsulatus","Ochrobactrum sp. A44",0.119038583566725,0.0461903588653131
"2283","Martelella mediterranea","Ochrobactrum sp. A44",0.189952129610543,0.0013782834705842
"2285","Confluentimicrobium sp. EMB200-NS6","Ochrobactrum sp. A44",0.171168354037882,0.00400481075939803
"2286","Chryseobacterium haifense","Ochrobactrum sp. A44",0.190185245984284,0.00135928456517482
"2287","Belliella baltica","Ochrobactrum sp. A44",0.24921530503237,2.3803753874482e-05
"2288","Propionibacterium phage PHL064M02","Ochrobactrum sp. A44",-0.256145369148413,1.37770883307525e-05
"2370","Flavobacteriaceae bacterium JJC","Bergeyella zoohelcum",0.399905582366264,3.24657884617449e-12
"2371","Erythrobacter sp. HL-111","Bergeyella zoohelcum",0.151358219482573,0.0110671994736284
"2372","Martelella sp. AD-3","Bergeyella zoohelcum",0.322857513167683,3.0780872844409e-08
"2373","Luteimonas sp. JM171","Bergeyella zoohelcum",0.291989585437966,6.29940030468261e-07
"2374","Dinoroseobacter shibae","Bergeyella zoohelcum",0.417526786230766,2.79020864697149e-13
"2375","Elizabethkingia meningoseptica","Bergeyella zoohelcum",0.461032344073534,3.40809109849775e-16
"2376","Ketogulonicigenium robustum","Bergeyella zoohelcum",0.382167970512394,3.33074441214783e-11
"2377","Sulfitobacter pseudonitzschiae","Bergeyella zoohelcum",0.332610307631394,1.102041998075e-08
"2378","Thalassolituus oleivorans","Bergeyella zoohelcum",0.316311251622796,6.01131347370037e-08
"2379","Microbacterium paludicola","Bergeyella zoohelcum",0.313264488443083,8.16400707972913e-08
"2380","Staphylococcus phage StB12","Bergeyella zoohelcum",0.156255771923156,0.00869588650750679
"2381","Brevirhabdus pacifica","Bergeyella zoohelcum",0.264398694728456,7.03666950996005e-06
"2382","Meiothermus silvanus","Bergeyella zoohelcum",0.326522041708767,2.10139853494229e-08
"2383","Microbacterium sp. XT11","Bergeyella zoohelcum",0.295403115874697,4.5884102636125e-07
"2384","Leadbetterella byssophila","Bergeyella zoohelcum",0.610106114043789,4.830626641359e-30
"2385","Rhodobacter capsulatus","Bergeyella zoohelcum",0.348261985625078,1.9633105224314e-09
"2386","Martelella mediterranea","Bergeyella zoohelcum",0.280237369839223,1.81801730481651e-06
"2387","Microcystis aeruginosa","Bergeyella zoohelcum",0.394164271539459,7.00391224334196e-12
"2388","Confluentimicrobium sp. EMB200-NS6","Bergeyella zoohelcum",0.404304924575274,1.78310366993235e-12
"2389","Chryseobacterium haifense","Bergeyella zoohelcum",0.530069916268403,9.25565832804482e-22
"2390","Belliella baltica","Bergeyella zoohelcum",0.541522996094853,8.2093439664507e-23
"2391","Propionibacterium phage PHL064M02","Bergeyella zoohelcum",-0.355616905765811,8.44092485910458e-10
"2392","Ochrobactrum sp. A44","Bergeyella zoohelcum",0.245532255474109,3.16300304211127e-05
"2473","Flavobacteriaceae bacterium JJC","Moraxella sp. O245",0.300640108776316,2.79902421227297e-07
"2474","Erythrobacter sp. HL-111","Moraxella sp. O245",0.240730330905063,4.55204618882733e-05
"2475","Martelella sp. AD-3","Moraxella sp. O245",0.292398333086847,6.06613836293662e-07
"2476","Luteimonas sp. JM171","Moraxella sp. O245",0.250421041706792,2.16677977726435e-05
"2477","Dinoroseobacter shibae","Moraxella sp. O245",0.289111768861004,8.20256710079237e-07
"2478","Elizabethkingia meningoseptica","Moraxella sp. O245",0.379868457843843,4.45900016913702e-11
"2479","Ketogulonicigenium robustum","Moraxella sp. O245",0.364537082048563,2.94432691617822e-10
"2480","Sulfitobacter pseudonitzschiae","Moraxella sp. O245",0.367310491016007,2.10800903493904e-10
"2481","Thalassolituus oleivorans","Moraxella sp. O245",0.49525802636696,8.51864645622986e-19
"2482","Microbacterium paludicola","Moraxella sp. O245",0.309431639678131,1.19406485656708e-07
"2483","Staphylococcus phage StB12","Moraxella sp. O245",0.175286629584543,0.00319733450643962
"2484","Brevirhabdus pacifica","Moraxella sp. O245",0.291974377026072,6.30824317319713e-07
"2485","Meiothermus silvanus","Moraxella sp. O245",0.324218640040563,2.67278745123709e-08
"2486","Microbacterium sp. XT11","Moraxella sp. O245",0.299972856280528,2.98258426450835e-07
"2487","Leadbetterella byssophila","Moraxella sp. O245",0.391424980947318,1.00554429174143e-11
"2488","Rhodobacter capsulatus","Moraxella sp. O245",0.35662724737468,7.50396532255955e-10
"2489","Martelella mediterranea","Moraxella sp. O245",0.301656324439817,2.54015503045183e-07
"2490","Microcystis aeruginosa","Moraxella sp. O245",0.353895270995515,1.03050536786359e-09
"2491","Confluentimicrobium sp. EMB200-NS6","Moraxella sp. O245",0.36865414694153,1.79088696094174e-10
"2492","Chryseobacterium haifense","Moraxella sp. O245",0.394532100915334,6.67022158253922e-12
"2493","Belliella baltica","Moraxella sp. O245",0.388409680657543,1.49148336485798e-11
"2494","Propionibacterium phage PHL064M02","Moraxella sp. O245",-0.282554410237374,1.48079834854014e-06
"2495","Ochrobactrum sp. A44","Moraxella sp. O245",0.168648631593645,0.00458547487513939
"2496","Bergeyella zoohelcum","Moraxella sp. O245",0.444533389665442,4.85917451246677e-15
"2576","Flavobacteriaceae bacterium JJC","Agrobacterium sp. RAC06",0.332444197013267,1.1218317558059e-08
"2577","Erythrobacter sp. HL-111","Agrobacterium sp. RAC06",0.388653998186478,1.44480811146779e-11
"2578","Martelella sp. AD-3","Agrobacterium sp. RAC06",0.519539224812784,7.92756811959357e-21
"2579","Luteimonas sp. JM171","Agrobacterium sp. RAC06",0.474322254277775,3.60188581205957e-17
"2580","Dinoroseobacter shibae","Agrobacterium sp. RAC06",0.432889272748982,2.91231151816814e-14
